17/12/2021                         	           	           	               	           	        	           	 	                        	  	        	                                      	                            	                                     	              	                        	              
ITX FX 2032 (New)                  	           	           	               	           	        	           	 	                        	  	        	                                      	                            	                                     	              	                        	              
TB                                 	Schedule   	Real       	Type           	Duration   	Comments	Offset     	^	SOD\EOD Overrun\Underrun	PR	Comments	Product                               	Version                     	Total Avail Used                     	Media Item    	Video Source            	Event Control 
                                   	           	13:58:00.00	Commercial Spot	00:00:10.00	        	00:00:00.00	 	    DMPMFINAÑO10S       	0 	        	MEDIA PLANNING                        	DMPMFINAÑO10S               	Used: 00:00:00.00    Rem: 00:00:10.00	SKSA-015189803	iTX                     	Manual Trigger
                                   	           	13:58:10.00	Commercial Spot	00:00:10.00	        	00:00:00.00	 	    DWA POLO            	0 	        	CABLEM                                	DWA POLO                    	Used: 00:00:00.00    Rem: 00:00:10.00	SKSA-015190027	iTX                     	Auto Play     
                                   	           	13:58:20.00	Promotion      	00:00:10.00	        	00:00:00.00	 	    76601605            	0 	        	ID 10" GEN SKY 19 NL V2 Filler        	76601605                    	Used: 00:00:00.00    Rem: 00:00:10.00	SKSP-076601605	iTX                     	Auto Play     
                                   	           	13:58:30.00	Promotion      	00:00:30.00	        	00:00:00.00	 	    Alta 6 - 77340601   	0 	        	SKY MKT - Lealtad Sky Sports NV jun 21	Alta 6 - 77340601           	Used: 00:00:00.00    Rem: 00:00:30.00	SKSP-077340601	iTX                     	Auto Play     
                                   	           	13:59:00.00	Promotion      	00:00:30.00	        	00:00:00.00	 	    Alta 6 - 77353301   	0 	        	SKY MKT - Señor Control               	Alta 6 - 77353301           	Used: 00:00:00.00    Rem: 00:00:30.00	SKSP-077353301	iTX                     	Auto Play     
                                   	           	13:59:30.00	Promotion      	00:00:30.00	        	00:00:00.00	 	    Alta 6 - 77335401   	0 	        	SKY PROG - BTG 2021                   	Alta 6 - 77335401           	Used: 00:00:00.00    Rem: 00:00:30.00	SKSP-077335401	iTX                     	Auto Play     
                                   	14:00:00.00	14:00:00.00	TX Slot Header 	00:00:00.00	        	00:00:00.00	 	                        	0 	        	14:00 Hour                            	                            	Used: 00:00:00.00    Rem: 00:00:00.00	              	                        	Auto Play     
                                   	           	14:00:00.00	Programme Part 	00:58:00.00	        	00:00:00.00	 	                        	0 	        	14:00 Hour                            	                            	Used: 00:00:00.00    Rem: 00:58:00.00	              	RX_1101                 	Auto Play     
                                   	           	14:58:00.00	Promotion Break	00:02:00.00	        	00:00:00.00	 	                        	0 	        	                                      	                            	Used: 00:02:00.00    Rem: 00:00:00.00	              	                        	Manual Trigger
                                   	           	14:58:00.00	Commercial Spot	00:00:10.00	        	00:00:00.00	 	    DMPMFINAÑO10S       	0 	        	MEDIA PLANNING                        	DMPMFINAÑO10S               	Used: 00:00:00.00    Rem: 00:00:10.00	SKSA-015189803	iTX                     	Manual Trigger
